,price,AD ID,Location,Delivery,Negotiable,Ads Posted,Ads Expiry,Type,Living Room,Floor,Bathroom,Bedroom,Road Type,Land Size (Aana/Dhur),Buildup (Sqr. Ft.),Furnishing,Kitchen,Road Size,url,Used For,Land Mark,Features
48,"रू. 3,00,00,000",HB-FD084A,"Tripura Sundari Marg, Gongabu",Not Available,Negotiable,8 months ago,2023-08-31,House - Individual,1,5,16,16,Pitched,3,4827,Non,1,9 - 12 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-gangabu-in-nepal/fd084ac2ed604d519545235bc53814e7,call,,yes
49,"रू. 4,65,00,000",HB-3991C0,"Golfutar (Budhanilkantha), Kathmandu",Available,Negotiable,11 months ago,2023-12-10,House - Individual,2,2.5,4 with 3 attached,4,Pitched,4.2.2,151.0025,Semi,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/422ana-house-for-sale-at-budhanilkantha-golfutar-in-kathmandu/3991c033dbd0439f9c3018e150ed5179,13,Parking space available,two store room
50,"रू. 3,70,00,000",HB-F5EFD9,"Satdobato, Lalitpur",Not Available,Negotiable,9 months ago,2025-03-02,House - Individual,2,2.5,7,5,Gravel,5,2000,Non,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/house-for-sale-at-sital-height-imadol-in-lalitpur/f5efd9a0e15f4b338a6c5be5d3e2e26b,,New Milenium School,"Spacious Parking, Kitchen with Dining Hall"
51,"रू. 3,10,00,000",HB-96EC9C,"Kathmandu City, Kathmandu",Not Available,Negotiable,4 months ago,2030-12-30,HouseSemiCommercial,You Can Chose yourself 17 Rooms in total,5,5,You Can Chose yourself 17 Rooms in total,Pitched,4 anna,4 anna,Semi,4,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-for-sale-nepaltar-balaju-in-kathmandu/96ec9cb2f63a40bb9a2b0bb5fddaeac8,,,
52,"रू. 2,95,00,000",HB-3BBD52,"Imadol (Mahalaxmi), Lalitpur",Not Available,Not Negotiable,13 days ago,2023-07-02,HouseIndividual,1,2.5,1,1,Gravel,0-3-2-0,1,Full,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-on-sale-imadol-in-lalitpur/3bbd52de0f2e40978a735542d30c6de1,,,
53,"रू. 2,75,00,000",HB-736718,"stonespout, Buicha Hiti Marg, Chobu Nani, Chakupat, Patan, Lalitpur",Not Available,Negotiable,4 months ago,2023-06-30,Bunglow,1,4,5,4,Gravel,3,860,Full,1,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/banglow-house-sale-on-imadol-rajulo-bhandari-tole-in-lalitpur/7367188d1b2a480796aa3d403c5ccb4c,,,Banglow
54,"रू. 65,00,000",HB-A306E4,"Tarahara, Sunsari (Itahari)",Not Available,Not Negotiable,6 months ago,2023-12-31,HouseIndividual,1,2,1,1,Pitched,16 dhur,10 dhur,Non,1,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/house-and-land-on-sale-in-tarahara-sunsari-in-sunsari/a306e4bdb5a84a6e9116b820263d8b02,private,,
55,"रू. 6,55,00,000",HB-2991517,Kathmandu > Narayanthan (Budhanilkantha),Not Available,Not Negotiable,1 years ago,2023-08-31,,1,2.5,5,5,Pitched,7,3400,Non,,13 to 20 feet,https://hamrobazaar.com/for-sale-house/newly-built-bungalow-in-budhanilkantha-sale-in-kathmandu/a8e8d3966cf347a9962389b4e12cd2b7,,Way to deuba niwas,"2, 3, 4, Garden, Parking Space, Garage"
56,"रू. 1,68,00,000",HB-D41B89,"Jhaukhel (Changunarayan), Bhaktapur",Not Available,Not Negotiable,1 days ago,2023-07-13,HouseIndividual,2,?.5,3,3,Gravel,?,300,Semi,2,ThirteenToTwentyFeet,https://hamrobazaar.com/for-sale-house/new-house-sale-at-jhaukhel-bhaktapur-in-bhaktapur/d41b89b93dc42d9f86f53ee5854e943e,,,
57,"रू. 8,50,00,000",HB-296641,"Red Cross Road, कालिमाटी, कोहिनूर हिल्स आवास",Not Available,Negotiable,25 days ago,2023-08-31,Bunglow,2,3,4,5,Pitched,8,3000,Semi,2,13 - 20 Ft.,https://hamrobazaar.com/for-sale-house/bungalow-on-sale-kalimati-in-nepal/2966417e570e4a1dbf5fd3cc405b0154,,kalimati,
