,Price,Address,Floor,Bathroom,Bedroom,Land,Road,Land Mark
949,29900000.0,"Nakhu Sainbu Nakhudole Nakkhu, Bhaisepati Area, Lalitpur",2.5,5,4,1112.3125,13.0,Medicity Hospital
950,29900000.0,"Nakhu Sainbu Nakhudole Nakkhu, Bhaisepati Area, Lalitpur",2.5,5,4,1112.3125,13.0,Mediciti Hospital
952,29900000.0,"Nakhu Sainbu Nakhudole Nakkhu, Bhaisepati Area, Lalitpur",2.5,5,6,1163.65,13.0,Nepal Medicity hospital
954,60000000.0,"Nakhu Sainbu Nakhudole Nakkhu, Bhaisepati Area, Lalitpur",2.5,7,4,2224.625,13.0,MAHATOMARG
958,29000000.0,"Nakhipot, Lalitpur",2.5,4,4,1026.75,20.0,Nakhipot
959,28500000.0,"Birauta, Pokhara Metropolitan Ward No. 17, Pokhara, Kaski, Gandaki Pradesh, 37600, Nepal",2.5,5,6,1437.45,12.0,Lakeside
963,43500000.0,"Golfutar (Budhanilkantha), Kathmandu",2.5,3(1 Attached),3,1540.125,13.0,300m from Golfutar Chowk
965,46500000.0,"Golfutar (Budhanilkantha), Kathmandu",2.5,4 with 3 attached,4,1582.9,13.0,Parking space available
977,28500000.0,"Gaurighat (Chabahil), Kathmandu",2.5,5,6,787.175,20.0,Ghaurighat chabil
979,18000000.0,"Gaurab’s home, Dipawali Marg, NAST research centre, Satdobato, Lalitpur, Bagmati Pradesh, 44702, Nepal",2.5,2,8,1369,12.0,Ok
986,86500000.0,"madhya baneshwor new baneswhwar old purano baneswor, Mid Baneshwor, Kathmandu",2.5,O,O,2498.425,20.0,Near valley view school
988,38000000.0,"Ekantakuna Kumaripati Manbhawan Jhamsikhel Pulchowk, Jawalakhel Area, Lalitpur",2.5,4,5,1540.125,13.0,ekantkuna
996,25000000.0,"Luvu Burger House, Lubhu, townplannig road, Lubhu, Mahalaxmi, Lalitpur, Bagmati Pradesh, 44708, Nepal",2.5,3,4,1197.875,13.0,Near Vally Public School
998,22500000.0,"Hattiban, Lalitpur",2.5,4,4,684.5,13.0,Satdobato Chowk
999,25500000.0,"Hattiban, Lalitpur",2.5,4,6,1026.75,13.0,"Satdobato, Hattiban, Setipakha Height"
1001,32500000.0,"Hattiban, Lalitpur",2.5,3,3,1197.875,13.0,250m from L.A School
1014,17000000.0,"Lubhu (Mahalaxmi), Lalitpur",2.5,3,10,1369,12.0,chagathali Buspark
1016,33000000.0,"Gothatar (Kageshwor), Kathmandu",2.5,4,8,1711.25,13.0,Dotel Dairy
1017,25000000.0,"Gothatar (Kageshwor), Kathmandu",2.5,5,8,1026.75,13.0,0.3.0.0
1018,45000000.0,"Gothatar (Kageshwor), Kathmandu",2.5,6,5,1711.25,20.0,Green Hill City
1021,31500000.0,"Gongabu (Tokha), Kathmandu",2.5,4,11,1369,13.0,400m from Outside Ring road
1022,30000000.0,"Gusingal (Sanepa), Lalitpur",2.5,4,5,1026.75,13.0,Near sanepa Kharibot
1023,25000000.0,"Gwarko Koteshwor Imadol, Balkumari Area, Lalitpur",2.5,4,6,1369,13.0,Imadol Swimming pool
1024,25000000.0,"Gwarko Koteshwor Imadol, Balkumari Area, Lalitpur",2.5,4,6,1369,13.0,Imadol Swimming Pool
1025,25000000.0,"Gwarko Koteshwor Imadol, Balkumari Area, Lalitpur",2.5,4,6,1369,13.0,Imadol Swimming pool
1028,25000000.0,"Gwarko, Lalitpur",2.5,3,3,1026.75,13.0,Near Kist Hospita
1031,14500000.0,"Dulal Tol, बुदानिलकन्ठ, Budhanilkantha, काठमाडौं, वाग्मती प्रदेश, 22644, नेपाल",2.5,3,4,855.625,13.0,Budhanilkantha
1035,12500000.0,"Matatirtha, Chandragiri, Kathmandu, Bagmati Pradesh, 44619, Nepal",2.5,2,4,1026.75,13.0,-
