Price,Views,Land Area,Road Access,Facing,Floor,Parking,Bedroom,Bathroom,Furnish Status,Amenity,City,district
28000000.0,174,4.2,11.0,,3.5,,,,,,Aakasedhara, Kathmandu
34500000.0,875,4.0,13.0,West,2.5,,6.0,5.0,,,Budhanilkantha, Kathmandu
40000000.0,207,3.2,11.0,,2.5,,4.0,6.0,,,Nagarjun, Kathmandu
32500000.0,625,4.0,14.0,,2.0,,3.0,3.0,,,Grande Villa, Kathmandu
12000000.0,82 ,3.0,12.0,North-East,1.5,,2.0,2.0,,,Matatirtha, Kathmandu
19000000.0,153,3.2,10.0,North,1.0,,3.0,1.0,,,Grande Hospital, Kathmandu
100000000.0,442,17.0,12.0,,2.0,,4.0,3.0,,,Bhaisepati, Lalitpur
60000000.0,1.3,9.0,11.0,,2.5,,3.0,3.0,,,Budhanilkantha, Kathmandu
24500000.0,290,3.3,13.0,West,2.5,,3.0,3.0,,,Budhanilkantha, Kathmandu
21000000.0,1.3,3.0,13.0,South-East,3.0,,7.0,3.0,,,Satungal, Kathmandu
39000000.0,154,3.2,12.0,East,3.5,,6.0,3.0,,,Kapan, Kathmandu
45000000.0,406,9.130752373995618,14.0,West,2.5,,5.0,5.0,,"Earthquake Resistant,Marbel,Parquet,Sofa,CC Camera,Dining Room,Bed Room,Drainage,Solar,Microwave,Modular Kitchen,+ 4 See More",Bhaisepati, Lalitpur
100000000.0,700,10.0,16.0,South,2.5,,4.0,3.0,,,Kupandole, Lalitpur
31000000.0,127,3.0,13.0,East,2.5,,6.0,4.0,,,Ekatabasti, Kathmandu
23500000.0,185,2.2,13.0,South-East,2.5,,3.0,3.0,,,Sitapaila, Kathmandu
47000000.0,1.6,4.3,13.0,South,3.0,,5.0,4.0,,,Balkumari, Lalitpur
30500000.0,181,4.2,13.0,South,2.5,,5.0,4.0,,,Birendra Chowk, Kathmandu
30000000.0,156,3.0,12.0,South,2.5,,,,,,Kaushaltar, Bhaktapur
28000000.0,233,3.2,15.0,South,2.5,,,,,,Imadol, Lalitpur
36000000.0,165,4.1,13.0,South-West,2.5,,4.0,5.0,,,Nakkhu, Lalitpur
25000000.0,1.1,3.1,14.0,South-East,2.5,,2.0,3.0,,,Imadol, Lalitpur
550000000.0,182,40.0,20.0,West,6.0,,,,,,Gongabu, Kathmandu
113000000.0,929,15.0,30.0,North-West,3.5,,5.0,5.0,,,Lazimpat, Kathmandu
22000000.0,937,3.3,13.0,South-East,2.5,,5.0,3.0,,,Gairi Gaun, Kathmandu
22000000.0,216,3.1,12.0,East,2.5,,5.0,3.0,,,Dhalmal, Kathmandu
42500000.0,94 ,3.0,13.0,North,6.0,,19.0,19.0,,,Kalanki, Kathmandu
250000000.0,495,40.0,13.0,South-West,2.5,,6.0,5.0,,,Swoyambhu, Kathmandu
19000000.0,885,4.0,16.0,,2.5,,6.0,4.0,,,Sanagaun, Lalitpur
30000000.0,271,4.0,26.0,South-East,2.5,,8.0,6.0,,,Gurjudhara, Kathmandu
10000000.0,529,5.0,13.0,,1.0,,,,,,Bansbari, Kathmandu
20000000.0,201,3.0,14.0,South-East,2.0,,4.0,2.0,,,Hattiban, Lalitpur
35000000.0,715,4.0,12.0,East,2.5,,5.0,3.0,,,Aarubari, Kathmandu
24000000.0,690,3.2,13.0,East,2.5,,4.0,3.0,,,Imadol, Lalitpur
26500000.0,2.1,3.0,13.0,West,2.5,,6.0,3.0,,,Tokha, Kathmandu
27000000.0,969,3.2,14.0,South-West,2.5,,5.0,3.0,,,Imadol, Lalitpur
30000000.0,750,5.0,15.0,,2.5,,,,,,Budhanilkantha, Kathmandu
85000000.0,176,7.0,20.0,North,4.5,,34.0,34.0,,,New Buspark, Kathmandu
37500000.0,208,3.2,9.0,South-West,4.5,,,,,,Ghattekulo, Kathmandu
40000000.0,76 ,5.0,20.0,East,2.5,,5.0,4.0,,,Bhangal , Kathmandu
40000000.0,357,4.1,12.0,North,2.5,,,,,,Lazimpat, Kathmandu
35000000.0,315,6.0,10.0,East,2.5,,,,,,Rudreshwor, Kathmandu
27000000.0,2.1,4.1,13.0,East,2.5,,4.0,3.0,,,Sitapaila, Kathmandu
16800000.0,361,1.1,20.0,East,4.0,,3.0,3.0,,"Solar,Parquet,Bathroom,Drinking Water,Internet,Drainage,Terrace,Bed Room,Dining Room,Prayer Room,Shutter,+ 2 See More",New Baneshwor, Kathmandu
29000000.0,1.1,4.2,13.0,North-West,3.0,,5.0,6.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Bed Room,Dining Room,Solar,Modular Kitchen,Parking,Internet,+ 4 See More",Matatirtha, Kathmandu
13000000.0,90 ,3.2,13.0,West,1.0,,3.0,1.0,,,Dharmasthali, Kathmandu
35000000.0,119,4.0,12.0,South,3.5,,5.0,3.0,,,Gongabu, Kathmandu
35500000.0,267,4.1,13.0,West,2.5,,5.0,1.0,,,Kapan, Kathmandu
115000000.0,253,17.0,13.0,,2.5,,6.0,4.0,,,Dhapasi, Kathmandu
140000000.0,337,12.0,13.0,East,2.0,,,,,,Naxal, Kathmandu
36000000.0,236,5.0,13.0,North,3.0,,4.0,1.0,,,Imadol, Lalitpur
19800000.0,1.6,4.2,13.0,,3.5,,,,,,Nepaltar, Kathmandu
13000000.0,616,4.2,13.0,North-East,1.0,,2.0,1.0,,,Dharmasthali, Kathmandu
12000000.0,129,3.0,10.0,East,1.0,,2.0,1.0,,,Goldhunga, Kathmandu
17000000.0,360,2.2,13.0,North-East,2.5,,6.0,2.0,,,Lubhu, Lalitpur
28500000.0,207,4.0,13.0,,3.0,,,,,,Thaiba, Lalitpur
27500000.0,175,3.1,20.0,East,2.5,,5.0,3.0,,,Imadol, Lalitpur
65000000.0,308,8.0,16.0,,2.5,,7.0,5.0,,,Hattiban, Lalitpur
59000000.0,171,5.0,15.0,,2.5,,4.0,4.0,,,Bhaisepati, Lalitpur
36500000.0,229,4.0,13.0,,2.5,,6.0,3.0,,,Budhanilkantha, Kathmandu
27500000.0,1k ,3.0,15.0,,3.0,,,,,,Nayabazar, Kathmandu
16000000.0,191,3.3,15.0,,2.5,,,,,,Chardhara, Kathmandu
37500000.0,225,5.0,20.0,,3.5,,,,,,Kirtipur, Kathmandu
25000000.0,395,4.0,15.0,,3.5,,,,,,Nagaun, Kathmandu
38700000.0,34 ,4.0,30.0,North,3.0,,7.0,6.0,,,Nagarjun, Kathmandu
45000000.0,105,5.2,12.0,North-East,2.5,,5.0,3.0,,,Tokha, Kathmandu
24500000.0,160,3.0,15.0,East,2.5,,5.0,3.0,,,Mulpani, Kathmandu
34000000.0,78 ,4.0,13.0,South-East,3.0,7.0,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Dining Room,Bed Room,Washing Machine,TV,Drainage,Solar,+ 19 See More",Hattigaunda, Kathmandu
26500000.0,1.2,3.3,20.0,West,2.5,,6.0,4.0,,,Sitapaila, Kathmandu
16500000.0,234,3.0,15.0,,1.0,,,,,,Kapan, Kathmandu
36000000.0,410,5.0,20.0,South-West,2.5,,7.0,7.0,,,Bhaisepati, Lalitpur
23000000.0,186,3.0,15.0,,2.5,,,,,,Pasikot, Kathmandu
16000000.0,381,3.0,12.0,East,2.5,,,,,,Chunikhel, Kathmandu
47500000.0,208,8.2,13.0,North,3.0,,7.0,6.0,,,Naikap, Kathmandu
29000000.0,614,4.0,12.0,South,2.5,,,,,,Thulobharyang, Kathmandu
62500000.0,792,6.0,20.0,East,2.5,,4.0,5.0,,,Budhanilkantha, Kathmandu
34000000.0,152,3.1,15.0,East,2.5,,5.0,3.0,,,Khusibu, Kathmandu
140000000.0,1.3,11.2,22.0,North-East,2.5,,,,,,Thulobharyang, Kathmandu
37500000.0,141,4.0,13.0,East,2.0,,7.0,4.0,,,Bafal, Kathmandu
42500000.0,362,4.2,20.0,East,2.5,,6.0,4.0,,"Earthquake Resistant,Marbel,Parquet,Fridge,Sofa,Dining Room,Bed Room,AirCon,Washing Machine,TV,Drainage,+ 9 See More",Khumaltar, Lalitpur
46500000.0,148,4.2,25.0,East,3.5,,,,,,Koteshwor, Kathmandu
90000000.0,196,8.0,20.0,South,3.0,,6.0,4.0,,,Bafal, Kathmandu
85000000.0,147,7.2,30.0,,6.0,,30.0,11.0,,,Ramkot, Kathmandu
26500000.0,321,3.3,13.0,,2.5,,7.0,5.0,,,Kapan, Kathmandu
39900000.0,194,4.0,16.0,,2.5,,,,,,Dhapasi, Kathmandu
33500000.0,165,3.0,15.0,,4.5,,6.0,4.0,,,Kuleshwor, Kathmandu
