,price,views,land area,road access,facing,floor,parking,bedroom,bathroom,furnish status,amenity,city,district
72,Rs. 1.73 Cr,147,3.0 ,5 Feet,South,2.5,1 Cars & 5 Bikes,1.0,1.0,Full-Furnished,,Kadaghari, Kathmandu
73,Rs. 1.25 Cr,135,2.0 ,12 Feet,South-West,2.5,3 Bikes,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Drainage,Solar,Parking,Drinking Water,Balcony,Reserve Tank,Well,Bed Room,Bathroom,+ 1 See More",Kapan, Kathmandu
74,Rs. 7.7 Cr,286,6.2 ,30 Feet,West,2.5,1 Cars & 1 Bikes,4.0,5.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,CC Camera,Drainage,Solar,Garden,Parking,Gazebo,Boring Water,Well,+ 23 See More",Hattigaunda, Kathmandu
75,Rs. 2.2 Cr,266,5.0 ,10 Feet,South,2.5,1 Cars & 4 Bikes,6.0,3.0,Semi-Furnished,"Marbel,Drainage,Garden,Parking,Drinking Water,Balcony,Terrace,Lawn,Well,Internet,Dining Room,+ 4 See More",Mahadevsthan, Kathmandu
76,Rs. 3.1 Cr,150,3.8.0 ,13 Feet,East,2.5,1 Cars & 1 Bikes,5.0,3.0,Un-Furnished,,Pasikot, Kathmandu
77,Rs. 2.99 Cr,2.1,4.0 ,13 Feet,South-East,2.5,,,,Un-Furnished,,Pasikot, Kathmandu
78,Rs. 13.5 Cr,877,13.0 ,16 Feet,South,2.5,3 Cars & 5 Bikes,7.0,5.0,Un-Furnished,"Marbel,Drainage,Garden,Parking,Boring Water,Well,Terrace,Lawn,Reserve Tank,Balcony,Drinking Water,+ 6 See More",Bhaisepati, Lalitpur
79,Rs. 2.1 Cr,613,3.0 ,10 Feet,South,2.5,1 Cars & 3 Bikes,5.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Drainage,Parking,Drinking Water,Reserve Tank,Terrace,Boring Water,Modular Kitchen,Bed Room,Bathroom,+ 5 See More",Gothatar, Kathmandu
80,Rs. 1.3 Cr,276,4.2 ,13 Feet,North-East,1.0,,2.0,1.0,Un-Furnished,,Dharmasthali, Kathmandu
81,Rs. 1.85 Cr,1.5,5.2 ,16 Feet,,1.0,,2.0,1.0,Un-Furnished,,Dulal Gaun, Kathmandu
82,Rs. 6 Cr,103,3.0 ,10 Meter,West,5.0,1 Cars & 5 Bikes,1.0,1.0,Semi-Furnished,,Kalanki, Kathmandu
83,Rs. 2.65 Cr,93 ,3.2 ,13 Feet,,2.5,1 Cars & 2 Bikes,6.0,4.0,Semi-Furnished,,Dhalmal, Kathmandu
84,Rs. 1.95 Cr,253,4.0 ,13 Feet,South,2.5,1 Cars & 1 Bikes,5.0,4.0,Semi-Furnished,,Imadol, Lalitpur
85,Rs. 8.5 Cr,134,7.3 ,17 Feet,North-East,2.5,2 Cars & 5 Bikes,5.0,4.0,Full-Furnished,,Sainbu, Lalitpur
86,Rs. 2.3 Cr,143,3.0 ,27 Feet,West,2.0,1 Cars,3.0,2.0,Un-Furnished,,Saraswotinagar, Kathmandu
87,Rs. 3.25 Cr,183,4.0 ,13 Feet,North,2.5,1 Cars & 1 Bikes,5.0,5.0,Full-Furnished,,Thecho, Lalitpur
88,Rs. 2.6 Cr,180,4.0 ,10 Feet,South,2.5,1 Cars & 1 Bikes,4.0,3.0,Full-Furnished,,Thecho, Lalitpur
89,Rs. 2.95 Cr,129,3.2 ,13 Feet,North,2.5,1 Cars & 3 Bikes,8.0,3.0,Semi-Furnished,"Earthquake Resistant,Drainage,Reserve Tank,Balcony,Terrace,Marbel,Parking,Well,Solar,Internet,Prayer Room,+ 3 See More",Imadol, Lalitpur
90,Rs. 2.25 Cr,677,3.0 ,13 Feet,East,2.5,1 Cars & 1 Bikes,4.0,3.0,Un-Furnished,,Bhelpa, Lalitpur
92,Rs. 1.9 Cr,592,2.3 ,13 Feet,South,2.5,1 Cars & 3 Bikes,4.0,3.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Parking,Balcony,Reserve Tank,Well,Dining Room,Bed Room,Bathroom,Living Room,+ 5 See More",Lalitpur,
95,Rs. 5.5 Cr,532,6.2 ,,,2.5,,,,Un-Furnished,,Pepsicola, Kathmandu
96,Rs. 10 Cr,588,16.0 ,32 Feet,South-West,2.5,10 Cars,8.0,5.0,Un-Furnished,"Marbel,Drainage,Drinking Water,Parking,Solar,Terrace,Boring Water,Bed Room,Dining Room,Bathroom,Living Room,+ 2 See More",Taukhel, Lalitpur
97,Rs. 6.8 Cr,324,8.2 ,14 Feet,East,2.5,2 Cars & 2 Bikes,6.0,3.0,Un-Furnished,,Baluwatar, Kathmandu
98,Rs. 1.55 Cr,173,2.2 ,5 Feet,South,1.0,1 Bikes,4.0,2.0,Full-Furnished,,Dhapasi, Kathmandu
99,Rs. 2.2 Cr,211,3.0 ,13 Meter,South-East,2.5,1 Cars & 3 Bikes,6.0,5.0,Semi-Furnished,"Earthquake Resistant,Marbel,Parquet,Parking,Drinking Water,Reserve Tank,Well,Modular Kitchen,Bed Room,Bathroom,Prayer Room,+ 4 See More",Tikathali, Lalitpur
100,Rs. 4.3 Cr,647,7.0 ,13-20 Feet,,2.5,,5.0,4.0,,,Gamcha, Bhaktapur
101,Rs. 3.45 Cr,1.3,3.2 ,13 Feet,,2.5,,6.0,3.0,,,Budhanilkantha, Kathmandu
103,Rs. 2.5 Cr,171,3.2 ,13 Feet,East,2.5,,6.0,3.0,,,Hattidanda, Kathmandu
104,Rs. 3.65 Cr,256,5.1 ,14 Feet,North-East,2.5,,5.0,3.0,,,Sainbu, Lalitpur
105,Rs. 5.49 Cr,184,7.0 ,13 Feet,North-East,2.0,,5.0,5.0,,,Golfutar, Kathmandu
106,Rs. 7.5 Cr,56 ,9.2 ,13 Feet,,2.5,,6.0,6.0,,,Dhapasi, Kathmandu
110,Rs. 70 Lac/aana,258,6.0 ,10-12 Feet,,2.0,,,,,,Chhauni, Kathmandu
111,Rs. 3.8 Cr,164,4.0 ,20 Feet,West,3.5,,,,,,Dhapakhel, Lalitpur
112,Rs. 6.75 Cr,266,7.0 ,26 Feet,East,2.5,,5.0,4.0,,,Mid Baneshwor, Kathmandu
113,Rs. 4 Cr,159,5.2 ,13 Feet,West,2.5,,,,,,Gatthaghar, Bhaktapur
114,Rs. 5.5 Cr,154,5.2 ,15 Feet,North-East,2.5,,5.0,5.0,,,Hepali Height, Kathmandu
115,Rs. 3.1 Cr,148,4.3 ,13 Feet,South-East,2.0,,,,,,Kapan, Kathmandu
116,Rs. 2.2 Cr,172,3.3 ,13 Feet,South-East,2.5,,4.0,3.0,,,Thulobharyang, Kathmandu
117,Rs. 3.3 Cr,194,3.2 ,20 Feet,South,2.5,,6.0,4.0,,,Nakhipot, Lalitpur
119,Rs. 2.95 Cr,320,4.2 ,13 Feet,North-West,2.5,,4.0,4.0,,,Satungal, Kathmandu
120,Rs. 5.25 Cr,305,7.2 ,12-18 Feet,,4.0,,,,,,Satdobato, Lalitpur
121,Rs. 3.99 Cr,78 ,3.4 ,16 Feet,North-West,2.5,,6.0,3.0,,,Imadol, Lalitpur
122,Rs. 5.5 Cr,138,7.0 ,20 Feet,South,3.0,,5.0,5.0,,,Hattiban, Lalitpur
123,Rs. 2.75 Cr,91 ,3.1 ,20 Feet,South,2.5,,7.0,5.0,,,Imadol, Lalitpur
124,Rs. 3.2 Cr,525,3.1 ,13 Feet,North,2.5,,5.0,6.0,,,Bhangal , Kathmandu
125,Rs. 3.5 Cr,512,5.0 ,20 Feet,West,2.5,,5.0,4.0,,,Naya Basti, Kathmandu
126,Rs. 2.8 Cr,245,3.0 ,10 Feet,South-East,3.5,,,4.0,,,Basundhara, Kathmandu
128,Rs. 3.85 Cr,316,4.0 ,13 Feet,,2.5,,,,,,Sukedhara, Kathmandu
129,Rs. 2.5 Cr,207,3.0 ,13 Feet,,2.5,,,,,,Kapan, Kathmandu
130,Rs. 2.8 Cr,174,4.2 ,10-12 Feet,,3.5,,,,,,Aakasedhara, Kathmandu
131,Rs. 3.45 Cr,875,4.0 ,13 Feet,West,2.5,,6.0,5.0,,,Budhanilkantha, Kathmandu
132,Rs. 4 Cr,207,3.2 ,10-12 Feet,,2.5,,4.0,6.0,,,Nagarjun, Kathmandu
133,Rs. 3.25 Cr,625,4.0 ,14 Feet,,2.0,,3.0,3.0,,,Grande Villa, Kathmandu
134,Rs. 1.2 Cr,82 ,3.0 ,12 Feet,North-East,1.5,,2.0,2.0,,,Matatirtha, Kathmandu
135,Rs. 1.9 Cr,153,3.2 ,10 Feet,North,1.0,,3.0,1.0,,,Grande Hospital, Kathmandu
136,Rs. 10 Cr,442,17.0 ,10-15 Feet,,2.0,,4.0,3.0,,,Bhaisepati, Lalitpur
137,Rs. 6 Cr,1.3,9.0 ,10-12 Feet,,2.5,,3.0,3.0,,,Budhanilkantha, Kathmandu
139,Rs. 2.45 Cr,290,3.3 ,13 Feet,West,2.5,,3.0,3.0,,,Budhanilkantha, Kathmandu
140,Rs. 2.1 Cr,1.3,3.0 ,13 Feet,South-East,3.0,,7.0,3.0,,,Satungal, Kathmandu
141,Rs. 3.9 Cr,154,3.2 ,12 Feet,East,3.5,,6.0,3.0,,,Kapan, Kathmandu
142,Rs. 4.5 Cr,406,3125 sq. ft,14 Feet,West,2.5,,5.0,5.0,,"Earthquake Resistant,Marbel,Parquet,Sofa,CC Camera,Dining Room,Bed Room,Drainage,Solar,Microwave,Modular Kitchen,+ 4 See More",Bhaisepati, Lalitpur
143,Rs. 10 Cr,700,10.0 ,16 Feet,South,2.5,,4.0,3.0,,,Kupandole, Lalitpur
144,Rs. 3.1 Cr,127,3.0 ,13 Feet,East,2.5,,6.0,4.0,,,Ekatabasti, Kathmandu
145,Rs. 2.35 Cr,185,2.2 ,13 Feet,South-East,2.5,,3.0,3.0,,,Sitapaila, Kathmandu
147,Rs. 4.7 Cr,1.6,4.3 ,13 Feet,South,3.0,,5.0,4.0,,,Balkumari, Lalitpur
148,Rs. 3.05 Cr,181,4.2 ,13 Feet,South,2.5,,5.0,4.0,,,Birendra Chowk, Kathmandu
150,Rs. 3 Cr,156,3.0 ,12 Feet,South,2.5,,,,,,Kaushaltar, Bhaktapur
151,Rs. 2.8 Cr,233,3.2 ,12-18 Feet,South,2.5,,,,,,Imadol, Lalitpur
152,Rs. 3.6 Cr,165,4.1 ,13 Feet,South-West,2.5,,4.0,5.0,,,Nakkhu, Lalitpur
157,Rs. 2.5 Cr,1.1,3.1 ,12-16 Feet,South-East,2.5,,2.0,3.0,,,Imadol, Lalitpur
158,Rs. 55 Cr,182,40.0 ,20 Feet,West,6.0,,,,,,Gongabu, Kathmandu
159,Rs. 19.5 Cr,336,22.0 ,20+ Feet,,2.5,,,,,,Tundaldevi, Kathmandu
160,Rs. 11.3 Cr,929,15.0 ,30 Feet,North-West,3.5,,5.0,5.0,,,Lazimpat, Kathmandu
164,Rs. 2.2 Cr,937,3.3 ,13 Feet,South-East,2.5,,5.0,3.0,,,Gairi Gaun, Kathmandu
165,Rs. 2.2 Cr,216,3.1 ,12 Feet,East,2.5,,5.0,3.0,,,Dhalmal, Kathmandu
166,Rs. 4.25 Cr,94 ,3.0 ,13 Feet,North,6.0,,19.0,19.0,,,Kalanki, Kathmandu
167,Rs. 25 Cr,495,40.0 ,13 Feet,South-West,2.5,,6.0,5.0,,,Swoyambhu, Kathmandu
