price,LAND AREA,HOUSE AREA,,BEDS,LIVING,KITCHEN,BATHROOMS,FLOORS,LOCATION,ROAD DESCRIPTION,FACED TOWARDS,CATEGORY,TYPE,CODE,UPDATE,VIEWS,FURNISHING,url,MAIN ROAD DISTANCE,ROAD TO HOUSE,FLAT AREA,PARKING AREA
"Rs. 10,00,000 (Negotiable)
(Ten lakh )",220 SQUARE FEET,,,,,,,,"GOKARNESWOR, KATHMANDU, NEPAL",20 FT,NONE,SHUTTER/S (RESIDENTIAL),PILLAR SYSTEM,GB10258,5 MONTHS AGO,229,FULLY FURNISHED,https://www.gharbazar.com/property/details/aama-pharmacy-at-gokarneswor-10258,,,,
"Rs. 10,00,00,000 (Negotiable)
(Ten crore )",1-4-0-0,,,4,1,1,2,2.5,"DHUNGEDHARA, DHOBIGHAT, LALITPUR, NEPAL",16 FT,EAST,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB07504,2 YEARS AGO,12903,NOT FURNISHED,https://www.gharbazar.com/property/details/bungalow-at-dhobighat-7504,300M,,,
,0-7-0-0,0-7-0-0,,,,,,5.5,"NEAR BY SANO KHARIKOBOT, SHANTINAGAR MARG, KATHMANDU, NEPAL",ABOVE 20 FT PITCHED ROAD,SOUTH-WEST,OFFICE SPACE (RESIDENTIAL),PILLAR SYSTEM,GB06340,4 YEARS AGO,3062,SEMI FURNISHED,https://www.gharbazar.com/property/details/commercial-flat-at-bhandari-tower-shantinagar-marg-6340,300M,,,
,11-12-1-2,,,15,2,1,15,5,"DHULIKHEL, KAVRE, NEPAL",20 FT,SOUTH,HOTELS & RESORTS (COMMERCIAL),PILLAR SYSTEM,GB10316,4 MONTHS AGO,513,FULLY FURNISHED,https://www.gharbazar.com/property/details/snow-view-mountain-resort-at-dhulikhel-10316,,,,
"Rs. 3,99,000 (Negotiable)
(Three lakh ninety nine thousand )",0-0-0-0,,,,,,,,"CHABAHIL, KATHMANDU, NEPAL",22,NORTH-WEST,SHUTTER/S (RESIDENTIAL),PILLAR SYSTEM,GB10526,3 MONTHS AGO,64,NOT FURNISHED,https://www.gharbazar.com/property/details/house-land-at-chabahil-10526,,,,
"Rs. 4,50,00,000 (Negotiable)
(Four crore fifty lakh )",0-10-0-0,,,7,1,1,6,2.5,"OPP. OF MEDICITY HOSPITAL, LALITPUR, NEPAL",12 FT 10 FT,SOUTH-WEST,BUNGALOW (RESIDENTIAL),PILLAR SYSTEM,GB06228,4 YEARS AGO,5519,FULLY FURNISHED,https://www.gharbazar.com/property/details/bangalow-at-nakhu-6228,,,,
"Rs. 3,30,00,000 (Negotiable)
(Three crore thirty lakh )",0-4-2-0,,,7,2,2,3,3,"BUDHANILKANTHA 8 KARKHANA CHOK, KATHMANDU, NEPAL",13 FEET,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10088,7 MONTHS AGO,129,NOT FURNISHED,https://www.gharbazar.com/property/details/house-at-budhanilkantha-8-karkhana-chowk-10088,,JUST 500 METER FROM NARAYANTHAN HIGHWAY,,
"Rs. 11,00,000 (Negotiable)
(Eleven lakh )",0-,,,,,,,,"JAWALAKHEL, LALITPUR, NEPAL",20 FT,NONE,RESTAURANT (RESIDENTIAL),PILLAR SYSTEM,GB10438,4 MONTHS AGO,298,NOT FURNISHED,https://www.gharbazar.com/property/details/resturant-at-jawalakhel-10438,,,,
"Rs. 65,000 (Negotiable)
(Sixty five thousand )",0-3-0-0,900 SQUARE FEET,,3,3,1,2,2.5,"SURYABINAYAK - KATUNJE, BHAKTAPUR, BHAKTAPUR, NEPAL",20 FEET,SOUTH-EAST,HOUSE (RESIDENTIAL),PILLAR SYSTEM,GB10079,7 MONTHS AGO,54,FULLY FURNISHED,https://www.gharbazar.com/property/details/house-at-suryabinayak-katunje-bhaktapur-10079,,550 METER FROM THE ARANIKO HIGHWAY,,
"Rs. 18,00,000 (Negotiable)
(Per Aana)",0-7-3-0,,,,,,,,"SHRIJANANAGAR, KATUNJE, BHAKTAPUR, NEPAL",13 FEET,SOUTH,LAND (RESIDENTIAL),PILLAR SYSTEM,GB04599,6 YEARS AGO,2361,,https://www.gharbazar.com/property/details/land-at-katunje-4599,,,,
